MinSupport,数据集,耗时
2,dptno,1685
4,dptno,487
8,dptno,373
16,dptno,316
32,dptno,153
64,dptno,161
2,pluno,1827
4,pluno,481
8,pluno,333
16,pluno,274
32,pluno,175
64,pluno,132
2,bndno,1402
4,bndno,304
8,bndno,226
16,bndno,202
32,bndno,175
64,bndno,96
