MinSupport,数据集,耗时
2,dptno,835
4,dptno,179
8,dptno,138
16,dptno,120
32,dptno,125
64,dptno,94
2,pluno,887
4,pluno,205
8,pluno,147
16,pluno,115
32,pluno,127
64,pluno,118
2,bndno,747
4,bndno,167
8,bndno,119
16,bndno,99
32,bndno,88
64,bndno,104
