MinSupport,数据集,耗时
2,dptno,2180
4,dptno,242
6,dptno,141
8,dptno,194
10,dptno,91
12,dptno,79
2,pluno,2285
4,pluno,171
6,pluno,166
8,pluno,166
10,pluno,104
12,pluno,113
2,bndno,815
4,bndno,166
6,bndno,127
8,bndno,118
10,bndno,91
12,bndno,89
